puuid,platform,match_routing
BF6c352hGDFj9HAKwifxmR8nFyT1dRJCmvTKEirZ1cYIwUmQtZynXd13dWP4xRa7Fiwdvsi5OrXbNg,vn2,sea
p68_S-k0laxSpFVY3SDQyKl6LsdM_39yH7p4TJiuE7xofoA6vyiIqilqkbECuiF-IPIw0HwV2weEDg,euw1,europe
XwvBKkHECC9WDxUV4fE__98lE1QnK4FRyXsBa1GPGYK3Q6mK8860xFRWGP7-ehkkMtHwBKsnWnfDbA,euw1,europe
8jFnvWxb6UdJRgYcM_E53hD0NrHwHAZOnrgvZBOmBfx7P_WX0KOGInngsijDtS6Ng80IpdZb40G9gA,kr,asia
9_mejKnC0nqRRnxs_EMU-2mKB6VwmoUW7eNox2fqDCSC-n7VeJoOgaJh7t3dqh0ZylVfW5E-Fan3Eg,euw1,europe
p97Y7zzvniJPahAI9u6k3xlfShVaI0IAg74X3YlCFcHrmeADiY04lcEZpbup_M1l4h9O4jJaKqMGhw,na1,americas
mUK4w-lmmy8GHAmjWnO_W9SI2OjIcyYPnjF_cJeNWi6TaqW5RX805OkOgzX4uKEDiMaiu2jB3WYrdQ,na1,americas
aGDiPBnAIvDWK5zOpDBTQw992uvswGyyETzAR4BvoJhs66GOfwnuALK84ePGQo5pGlkRYiJ-nlEBtw,vn2,sea
mQR7B5t6i5Ce0JBGZ1m1xezygRLo8cLeBnUBI6I4eKRZGoZM_6wHjGb4bOAMW39SKBl1PodcAMhYtg,vn2,sea
FoohoCSvlqwKMfubnaX4vu1QJcqwSfVRSHDbNdNsoggNdmzEH1jTR0ROjJwn1bv4vq3_Qn9seV0G8g,na1,americas
f-ZciD2CKiCKLEcXMj2uSXvjiHPR1d6UQVSab6MC3ghJ3FGztLNNBTwoBbW1AMLVbUAHZO8zabbIIw,na1,americas
C-Lac4FUdc1eFKvGRcL8JIwuHA-Tr_BD36Lo1EK2M32r3__moWUAXgl1J9xI31pNphh88BGWOp9eEw,vn2,sea
ohIXFCJ7oxyIfVdnPqGBAtbS-qOOq1RQxPw-giv2JaLgiy1el4U_oDt8WmBi8yMuKwBpxk9JR_81sg,na1,americas
_sv2qT85VvKbAWApaqQBn4_0rZ7M0FMOqPT_G7hJ7vCZ5Bo6JnAOw6rbaCf1gO2NKbxOYyPmVx1OUw,kr,asia
DYJqf2tdYt3giaDrCmKx1KHaWNxPSAmhlV8aD5C8xWKYI3oDSw6ydvXG9ddyEmYUinLgwMXdDrGVZQ,kr,asia
vYgn19Z11aA_I-Vm6m-AhS7GmsiCP2XGmmzH9JAzlYPuXWZkzgKsTNNkl9_xHsUdB-vbQ2HQ-Y6JhQ,kr,asia
rCGPMa9Giya1VYlQOB4KrR8VFVap82kxhhsdGG8AQXN8hk2yLtAYj8RhAg7BGmz8ci7kBPSYvI9mvw,vn2,sea
Hrko38WtagXv4n_oAC46ImiNZ8GliRigEjJnWQdX5u5AHNXh_b1aQAvYIpan__Khg2gaLmkxoHw5UQ,na1,americas
G6uB6l4MmL1hiGcep9qI2nlJqiTLbzUwtmfQIcJO5SULZrKg1qvbi5nVHt-cHh5B73xv8rEvGnCuug,na1,americas
FBH5zlwGixEkaBGIGn7suYZNi5xMqgVZyFqkedbrREjaHxqp05AzM11MH-_Anpd7vD06NT9OrLIInw,euw1,europe
rTcvdYNqPfXlN97ie4Go1PABOlSM-yAHYtbi7A28WD__LK-_wt4OQAPjnWiS3QORSnZ5BFGzGmFzQQ,kr,asia
RdYHyPGinhSkL5QKM-gbrvCOxrjQBVVqeNMNn52QWp0x4gmcCh6bAyvCH38w35au_yhYpKsj8sIOjA,kr,asia
MK7PDAahk6pc0ZJirmJG_ZWjnEZ_spD1ve_qjNDEc_ShFpnUFP2sLSCNpcd_mvRLvuV4IBNcZPZlJw,kr,asia
ZggbPnmrKXcDmkE-heJ-X2vDObyBe1jrCIsv1Rytk7Yv8SngJ2r7xYq1j5b3AvwlWrzYuX0lCnx1Kg,kr,asia
jz2IncbGomcRuISgmkSrs5bN5g6IBOV6lZVF40Va3fUiNsytsr_6OSaqOJiViuJTlOgVy_Ejm-a-gQ,vn2,sea
U6Od3OtxUCss2AWgFl_NWHYSsgJvxI9bkAD9swdl3Twnt81nNF-CTdW8PCjyTitzKkwteY892y2-Bw,euw1,europe
lx9-D8rPPVmWmG_gxt2yYArphjFX2CukEAI2bdPNA3GteiA_nX9eRnN0rM2kEM95KtK56_AjRwFGjA,na1,americas
